NAME,TYPE,LOCATION,TAG,LAT,LON
문스골프클럽,지역레저시설 실내골프연습장,서울특별시 성동구 서울숲2길 32-14,에너지 회복; 스트레스 해소,37.545749,127.0426796
풀스윙골프클럽,지역레저시설 스크린골프,서울특별시 성동구 성수이로 137,에너지 회복; 스트레스 해소,37.5466668,127.0574768
한양대학교 농구장,지역체육시설 농구장,서울특별시 성동구 왕십리로 222,에너지 회복; 스트레스 해소,37.5569876,127.0470893
g스윙스크린골프,지역레저시설 스크린골프,서울특별시 성동구 청계천로 484,에너지 회복; 스트레스 해소,37.5693523,127.0307558
가자실내낚시터 길음본점,지역레저시설 낚시터,서울특별시 성북구 동소문로 269,안정감; 감정 정화,37.6050122,127.0254685
이희재탁구클럽,지역체육시설 탁구장,서울특별시 성북구 동소문로 86-15,에너지 회복; 스트레스 해소,37.6034555,127.0237241
명상길배드민턴장,지역체육시설 배드민턴장,서울특별시 성북구 보국문로 176-6,에너지 회복; 스트레스 해소,37.6176032,127.0005396
실내풋살장 비컴풋볼아카데미,지역체육시설 풋살장,서울특별시 성북구 보문로 70-1,에너지 회복; 스트레스 해소,37.5905009,127.0146815
성북K클라이밍,지역체육시설 클라이밍,서울특별시 성북구 보문로 90-2,에너지 회복; 스트레스 해소,37.5905009,127.0146815
북악골프연습장,지역레저시설 실외골프연습장,서울특별시 성북구 북악산로 537-14,에너지 회복; 스트레스 해소,37.5954729,127.0229007
인골프연습장,지역레저시설 스크린골프,서울특별시 성북구 북악산로 809,에너지 회복; 스트레스 해소,37.5954729,127.0229007
그린골프존,지역레저시설 스크린골프,서울특별시 성북구 북악산로 851,에너지 회복; 스트레스 해소,37.5999949,127.0194343
고려대학교 아이스링크,지역레저시설 스케이트장,서울특별시 성북구 안암로 145,에너지 회복; 스트레스 해소,37.5879631,127.0323459
올핀볼링센터,지역체육시설 볼링장,서울특별시 성북구 장위로 189,에너지 회복; 스트레스 해소,37.6137171,127.0391276
고려대학교사범대학 부속고등학교 농구장,지역체육시설 농구장,서울특별시 성북구 정릉로 161,에너지 회복; 스트레스 해소,37.6093983,127.0013218
정릉골프클럽,지역레저시설 실내골프연습장,서울특별시 성북구 정릉로 195,에너지 회복; 스트레스 해소,37.6071984,127.0064694
라온스크린골프,지역레저시설 스크린골프,서울특별시 성북구 정릉로 307,에너지 회복; 스트레스 해소,37.6032606,127.0183236
강지만골프아카데미 성북점,지역레저시설 스크린골프,서울특별시 성북구 종암로 167,에너지 회복; 스트레스 해소,37.6050584,127.0309893
준 테니스 아카데미,지역체육시설 테니스장,서울특별시 성북구 화랑로 299,에너지 회복; 스트레스 해소,37.6026469,127.0367881
송파테니스장,지역체육시설 테니스장,서울특별시 송파구 가락로 153,에너지 회복; 스트레스 해소,37.4986035,127.1005908
오금공원 테니스장,지역체육시설 테니스장,서울특별시 송파구 동남로 263,에너지 회복; 스트레스 해소,37.4999963,127.1348555
탁구사랑,지역체육시설 탁구장,서울특별시 송파구 동남로 303,에너지 회복; 스트레스 해소,37.4903503,127.1241515
오륜테니스장,지역체육시설 테니스장,서울특별시 송파구 동남로 417,에너지 회복; 스트레스 해소,37.4903503,127.1241515
서울테니스클럽,지역체육시설 테니스장,서울특별시 송파구 동남로 455-6,에너지 회복; 스트레스 해소,37.4903503,127.1241515
원탁구클럽,지역체육시설 탁구장,서울특별시 송파구 마천로 258-1,에너지 회복; 스트레스 해소,37.4968208,127.1482345
두댐이공원 배드민턴장,지역체육시설 배드민턴장,서울특별시 송파구 문정로 170,에너지 회복; 스트레스 해소,37.5008911,127.1421797
놀이터낚시카페,지역레저시설 낚시터,서울특별시 송파구 백제고분로 179,안정감; 감정 정화,37.5026684,127.0991605
손상원 클라이밍짐 잠실점,지역체육시설 클라이밍,서울특별시 송파구 백제고분로 224,에너지 회복; 스트레스 해소,37.5030034,127.091359
써티올테니스,지역체육시설 테니스장,서울특별시 송파구 백제고분로 252,에너지 회복; 스트레스 해소,37.5026684,127.0991605
더테니스존 석촌역점,지역체육시설 테니스장,서울특별시 송파구 백제고분로 379,에너지 회복; 스트레스 해소,37.5026684,127.0991605
가자실내낚시터 석촌점,지역레저시설 낚시터,서울특별시 송파구 백제고분로 384,안정감; 감정 정화,37.5034311,127.1024471
송파구배드민턴장,지역체육시설 배드민턴장,서울특별시 송파구 백제고분로 400,에너지 회복; 스트레스 해소,37.5070661,127.1108016
락스타클라이밍,지역체육시설 클라이밍,서울특별시 송파구 백제고분로 435,에너지 회복; 스트레스 해소,37.5098455,127.1115604
와일드피칭,지역체육시설 야구연습장,서울특별시 송파구 백제고분로7길 32-10,에너지 회복; 스트레스 해소,37.5097574,127.0799261
차차플레이스 잠실점,지역레저시설 스크린골프,서울특별시 송파구 석촌호수로18길 8-14,에너지 회복; 스트레스 해소,37.5035913,127.1009753
피플탁구클럽,지역체육시설 탁구장,서울특별시 송파구 송이로 159,에너지 회복; 스트레스 해소,37.5025532,127.1168315
제니스스크린골프존,지역레저시설 스크린골프,서울특별시 송파구 송파대로 422,에너지 회복; 스트레스 해소,37.5049648,127.1078371
비전테니스,지역체육시설 테니스장,서울특별시 송파구 송파대로 473,에너지 회복; 스트레스 해소,37.513581,127.0996394
GDR골프존아카데미 잠실점,지역레저시설 스크린골프,서울특별시 송파구 송파대로 562,에너지 회복; 스트레스 해소,37.515253,127.099407
잠실주공5단지아파트농구장,지역체육시설 테니스장,서울특별시 송파구 송파대로 567,에너지 회복; 스트레스 해소,37.5161906,127.0930921
마이골프스튜디오 올림픽점,지역레저시설 스크린골프,서울특별시 송파구 양재대로 1218,에너지 회복; 스트레스 해소,37.5173532,127.1336159
